occurrence_id	taxon_id	sex	life stage	locality
C58502	T30348			http://marineregions.org/gazetteer.php?p=details&id=20827
C31271	T22817		http://www.ebi.ac.uk/efo/EFO_0001272	http://www.geonames.org/3373405
C59299	T13256		http://www.ebi.ac.uk/efo/EFO_0001272	http://marineregions.org/gazetteer.php?p=details&id=8404
C29938	T21965		http://www.ebi.ac.uk/efo/EFO_0001272	http://eol.org/schema/terms/cedarKeySeagrass
C58531	T35236		http://www.ebi.ac.uk/efo/EFO_0001272	http://eol.org/schema/terms/floridaCoastWater
C54948	T11862	http://purl.obolibrary.org/obo/PATO_0000383		http://eol.org/schema/terms/floridaCoastWater
C56311	T11862	http://purl.obolibrary.org/obo/PATO_0000384		http://eol.org/schema/terms/floridaCoastWater
C58501	T30348			http://eol.org/schema/terms/floridaGulf
C56324	T35236	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	http://purl.obolibrary.org/obo/ENVO_00002037
C51785	T35236			http://purl.obolibrary.org/obo/ENVO_00002037
C56006	T35236	http://purl.obolibrary.org/obo/PATO_0000383	http://www.ebi.ac.uk/efo/EFO_0001272	http://eol.org/schema/terms/georgiaCoastWater
C56326	T35236	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	http://eol.org/schema/terms/georgiaCoastWater
C56335	T11862			http://eol.org/schema/terms/georgiaCoastWater
C58527	T27871		http://www.ebi.ac.uk/efo/EFO_0001272	http://www.geonames.org/3523271
C58487	T30770		http://www.ebi.ac.uk/efo/EFO_0001272	http://marineregions.org/gazetteer.php?p=details&id=8480
C25446	T19222			http://www.geonames.org/4159661
C25460	T19228			http://www.geonames.org/4159661
C56337	T22755		http://www.ebi.ac.uk/efo/EFO_0001272	http://www.geonames.org/3977024
C56333	T11862			http://eol.org/schema/terms/louisianaCoastWater
C56325	T35236	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	http://purl.obolibrary.org/obo/ENVO_00000569
C55997	T28645	http://purl.obolibrary.org/obo/PATO_0000383	http://www.ebi.ac.uk/efo/EFO_0001272	http://eol.org/schema/terms/newyorkCoastWater
C56314	T28645	http://purl.obolibrary.org/obo/PATO_0000384	http://www.ebi.ac.uk/efo/EFO_0001272	http://eol.org/schema/terms/newyorkCoastWater
C41202	T28645		http://eol.org/schema/terms/yearling	http://eol.org/schema/terms/northcarolinaCoastWater
C56334	T11862			http://eol.org/schema/terms/northcarolinaCoastWater
C58529	T22817		http://www.ebi.ac.uk/efo/EFO_0001272	http://www.geonames.org/2363254
C58503	T30348		http://eol.org/schema/terms/yearling	http://eol.org/schema/terms/texasCoastWater
C58504	T30348		http://eol.org/schema/terms/2yearsOld	http://eol.org/schema/terms/texasCoastWater
C58505	T30348		http://eol.org/schema/terms/3yearsOld	http://eol.org/schema/terms/texasCoastWater
C19581	T15813		http://eol.org/schema/terms/lessThan1yearOld	
C56302	T23696		http://eol.org/schema/terms/yearling	
C58497	T26015		http://eol.org/schema/terms/yearling	
